Color_exterior,Color_interior,Comfort,Entertainment,Extras,Fuel,Gearbox,Initial_registration,Mileage,Owners,Power,Security,Seller,price
Schwarz,Vollleder,"Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Klimaautomatik,Lederausstattung,Start/Stop-Automatik","Bordcomputer,CD,Radio","Alufelgen,Sommerreifen",Benzin,Schaltgetriebe,07/2008,105633,3,105 kW (143 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Seitenairbag,Servolenkung,Zentralverriegelung",Händler,8000
Grau,Sonstige,"2-Zonen-Klimaautomatik,Armlehne,Einparkhilfe,Einparkhilfe Kamera,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaanlage,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat,teilb. Rücksitzbank","Bluetooth,Bordcomputer,DAB-Radio,Freisprecheinrichtung,MP3,Musikstreaming integriert,Radio,USB,Volldigitales Kombiinstrument","Allwetterreifen,Alufelgen (16""),E10-geeignet,Elektronische Parkbremse,Innenspiegel automatisch abblendend,Pannenkit,Partikelfilter,Sprachsteuerung,Touchscreen",Benzin,Schaltgetriebe,07/2022,69076,,100 kW (136 PS),"ABS,Abstandswarner,Beifahrerairbag,Blendfreies Fernlicht,ESP,Fahrerairbag,Geschwindigkeits-begrenzungsanlage,Isofix,Kopfairbag,Kurvenlicht,LED-Scheinwerfer,LED-Tagfahrlicht,Müdigkeitswarnsystem,Nebelscheinwerfer,Notbremsassistent,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Spurhalteassistent,Tagfahrlicht,Traktionskontrolle,Voll-LED Scheinwerfer,Wegfahrsperre,Zentralverriegelung,Zentralverriegelung mit Funkfernbedienung",Händler,18990
Schwarz,Schwarz,"2-Zonen-Klimaautomatik,Armlehne,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,teilb. Rücksitzbank","Bluetooth,Bordcomputer,CD,Freisprecheinrichtung,MP3,Musikstreaming integriert,Radio,Soundsystem,USB","Alufelgen (17""),Ambientebeleuchtung,Anhängerkupplung,Gepäckraumabtrennung,Innenspiegel automatisch abblendend,Pannenkit,Partikelfilter,Scheinwerferreinigung,Sprachsteuerung,Winterpaket,Winterreifen",Diesel,Automatik,01/2012,189692,,105 kW (143 PS),"ABS,Beifahrerairbag,Bi-Xenon Scheinwerfer,ESP,Fahrerairbag,Geschwindigkeits-begrenzungsanlage,Isofix,Kopfairbag,Nebelscheinwerfer,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Tagfahrlicht,Traktionskontrolle,Wegfahrsperre,Xenonscheinwerfer,Zentralverriegelung,Zentralverriegelung mit Funkfernbedienung",Händler,12790
Schwarz,Braun,"Armlehne,Einparkhilfe,Einparkhilfe Sensoren hinten,Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaanlage,Klimaautomatik,Lederausstattung,Lichtsensor,Multifunktionslenkrad,Regensensor,Schiebedach,Sitzheizung,Start/Stop-Automatik,Tempomat,Windschott(für Cabrio)","Bordcomputer,CD,Freisprecheinrichtung,MP3,Radio,Soundsystem,USB","Alufelgen (18""),Ambientebeleuchtung,Innenspiegel automatisch abblendend,Katalysator,Skisack,Sportfahrwerk,Sportpaket,Sportsitze,Winterreifen",Benzin,Schaltgetriebe,04/2008,137000,,105 kW (143 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Nebelscheinwerfer,Seitenairbag,Servolenkung,Wegfahrsperre,Zentralverriegelung,Zentralverriegelung mit Funkfernbedienung",Händler,7490
Schwarz,Schwarz,"2-Zonen-Klimaautomatik,Armlehne,Beheizbares Lenkrad,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Elektrische Sitze,Getönte Scheiben,Klimaanlage,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat,teilb. Rücksitzbank","Bluetooth,Bordcomputer,DAB-Radio,Freisprecheinrichtung,Induktionsladen für Smartphones,MP3,Musikstreaming integriert,Radio,USB,Volldigitales Kombiinstrument,W-Lan / Wifi Hotspot","Alufelgen,Ambientebeleuchtung,Elektronische Parkbremse,Gepäckraumabtrennung,Partikelfilter,Sportfahrwerk,Sportpaket,Sportsitze,Sprachsteuerung,Touchscreen",Diesel,Automatik,02/2021,78441,1,110 kW (150 PS),"ABS,Abstandswarner,Beifahrerairbag,Bi-Xenon Scheinwerfer,ESP,Fahrerairbag,Geschwindigkeits-begrenzungsanlage,Isofix,Kopfairbag,LED-Scheinwerfer,LED-Tagfahrlicht,Müdigkeitswarnsystem,Nebelscheinwerfer,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Spurhalteassistent,Tagfahrlicht,Traktionskontrolle,Voll-LED Scheinwerfer,Wegfahrsperre,Xenonscheinwerfer,Zentralverriegelung",Händler,25490
Grau,Schwarz,"2-Zonen-Klimaautomatik,Armlehne,Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Navigationssystem,Regensensor,Schlüssellose Zentralverriegelung,Sitzheizung,Start/Stop-Automatik,Tempomat","Bluetooth,Bordcomputer,Freisprecheinrichtung,Induktionsladen für Smartphones,MP3,Radio,Soundsystem,USB,Volldigitales Kombiinstrument,W-Lan / Wifi Hotspot","Alufelgen,Ambientebeleuchtung,Innenspiegel automatisch abblendend,Partikelfilter,Schaltwippen,Sommerreifen,Sportfahrwerk,Sportpaket,Sportsitze",Diesel,Automatik,05/2021,64100,,110 kW (150 PS),"ABS,Abstandswarner,Beifahrerairbag,ESP,Fahrerairbag,Geschwindigkeits-begrenzungsanlage,Isofix,Kopfairbag,LED-Scheinwerfer,LED-Tagfahrlicht,Müdigkeitswarnsystem,Nebelscheinwerfer,Notbremsassistent,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Spurhalteassistent,Tagfahrlicht,Traktionskontrolle,Verkehrszeichenerkennung,Wegfahrsperre,Zentralverriegelung",Händler,26930
Blau,Grau,"Armlehne,Beheizbares Lenkrad,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat,teilb. Rücksitzbank","Bluetooth,Bordcomputer,DAB-Radio,Freisprecheinrichtung,MP3,Musikstreaming integriert,Radio,USB,Volldigitales Kombiinstrument","Alufelgen,Ambientebeleuchtung,Elektronische Parkbremse,Katalysator,Sportpaket,Sportsitze,Sprachsteuerung,Touchscreen",Benzin,Schaltgetriebe,04/2021,42588,,100 kW (136 PS),"ABS,Abstandswarner,Alarmanlage,Beifahrerairbag,Bi-Xenon Scheinwerfer,ESP,Fahrerairbag,Geschwindigkeits-begrenzungsanlage,Isofix,Kopfairbag,LED-Scheinwerfer,LED-Tagfahrlicht,Müdigkeitswarnsystem,Nebelscheinwerfer,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Spurhalteassistent,Tagfahrlicht,Traktionskontrolle,Voll-LED Scheinwerfer,Wegfahrsperre,Xenonscheinwerfer,Zentralverriegelung",Händler,21990
Schwarz,Schwarz,"2-Zonen-Klimaautomatik,Armlehne,Berganfahrassistent,Einparkhilfe,Einparkhilfe Kamera,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaanlage,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat,teilb. Rücksitzbank","Android Auto,Apple CarPlay,Bluetooth,Bordcomputer,DAB-Radio,Freisprecheinrichtung,MP3,Musikstreaming integriert,Radio,USB,Volldigitales Kombiinstrument,W-Lan / Wifi Hotspot","Alufelgen (16""),E10-geeignet,Elektronische Parkbremse,Innenspiegel automatisch abblendend,Pannenkit,Partikelfilter,Sommerreifen,Sprachsteuerung,Touchscreen,Winterpaket",Benzin,Schaltgetriebe,07/2022,62654,,100 kW (136 PS),"ABS,Abstandswarner,Beifahrerairbag,Blendfreies Fernlicht,ESP,Fahrerairbag,Geschwindigkeits-begrenzungsanlage,Isofix,Kopfairbag,Kurvenlicht,LED-Scheinwerfer,LED-Tagfahrlicht,Müdigkeitswarnsystem,Nebelscheinwerfer,Notbremsassistent,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Spurhalteassistent,Tagfahrlicht,Traktionskontrolle,Voll-LED Scheinwerfer,Wegfahrsperre,Zentralverriegelung,Zentralverriegelung mit Funkfernbedienung",Händler,18948
Weiß,Grau,"Armlehne,Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaautomatik,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Navigationssystem,Regensensor,Schlüssellose Zentralverriegelung,Sitzheizung,Start/Stop-Automatik,Tempomat","Android Auto,Apple CarPlay,Bluetooth,Bordcomputer,DAB-Radio,Freisprecheinrichtung,Induktionsladen für Smartphones,MP3,Musikstreaming integriert,Radio,USB,Volldigitales Kombiinstrument,W-Lan / Wifi Hotspot","Alufelgen,Ambientebeleuchtung,E10-geeignet,Innenspiegel automatisch abblendend,Partikelfilter,Sommerreifen,Sportsitze,Touchscreen",Benzin,Schaltgetriebe,05/2020,51300,,103 kW (140 PS),"ABS,Abstandswarner,Beifahrerairbag,ESP,Fahrerairbag,Geschwindigkeits-begrenzungsanlage,Isofix,Kopfairbag,LED-Scheinwerfer,LED-Tagfahrlicht,Müdigkeitswarnsystem,Nebelscheinwerfer,Notbremsassistent,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Spurhalteassistent,Tagfahrlicht,Traktionskontrolle,Verkehrszeichenerkennung,Wegfahrsperre,Zentralverriegelung",Händler,19890
Schwarz,Stoff,"Armlehne,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaanlage,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat,teilb. Rücksitzbank","Bluetooth,Bordcomputer,DAB-Radio,Freisprecheinrichtung,MP3,Radio,USB,Volldigitales Kombiinstrument,W-Lan / Wifi Hotspot","Alufelgen,E10-geeignet,Elektronische Parkbremse,Innenspiegel automatisch abblendend,Touchscreen",Benzin,Schaltgetriebe,12/2021,28443,1,100 kW (136 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Kopfairbag,LED-Scheinwerfer,LED-Tagfahrlicht,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Spurhalteassistent,Tagfahrlicht,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Händler,20890
Grau,Schwarz,"Armlehne,Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Klimaautomatik,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Regensensor,Start/Stop-Automatik,Tempomat","Bluetooth,Bordcomputer,Freisprecheinrichtung,MP3,Radio,USB,W-Lan / Wifi Hotspot","Allwetterreifen,Alufelgen,E10-geeignet,Gepäckraumabtrennung,Innenspiegel automatisch abblendend,Pannenkit,Partikelfilter",Benzin,Automatik,08/2018,86500,,100 kW (136 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Geschwindigkeits-begrenzungsanlage,Isofix,Nebelscheinwerfer,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Händler,15790
Weiß,Stoff,"Armlehne,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Klimaautomatik,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik","Bluetooth,Bordcomputer,Freisprecheinrichtung,Radio,USB","Alufelgen,Sportfahrwerk,Sprachsteuerung,Touchscreen",Benzin,Automatik,08/2020,32294,1,103 kW (140 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Geschwindigkeits-begrenzungsanlage,Isofix,LED-Tagfahrlicht,Müdigkeitswarnsystem,Notbremsassistent,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Tagfahrlicht,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Händler,20440
Weiß,Schwarz,"Armlehne,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Head-up display,Klimaautomatik,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat,teilb. Rücksitzbank","Bluetooth,Bordcomputer,DAB-Radio,Freisprecheinrichtung,MP3,Radio,USB,Volldigitales Kombiinstrument","E10-geeignet,Innenspiegel automatisch abblendend,Katalysator,Pannenkit,Partikelfilter,Sprachsteuerung,Touchscreen",Benzin,Automatik,08/2021,18379,1,103 kW (140 PS),"ABS,Airbag hinten,Alarmanlage,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Kopfairbag,LED-Scheinwerfer,LED-Tagfahrlicht,Müdigkeitswarnsystem,Nebelscheinwerfer,Notbremsassistent,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Spurhalteassistent,Traktionskontrolle,Verkehrszeichenerkennung,Wegfahrsperre,Zentralverriegelung,Zentralverriegelung mit Funkfernbedienung",Händler,23950
Weiß,Schwarz,"Armlehne,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaautomatik,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat","Android Auto,Apple CarPlay,Bluetooth,Bordcomputer,DAB-Radio,Freisprecheinrichtung,Induktionsladen für Smartphones,Musikstreaming integriert,Radio,Soundsystem,USB","Allwetterreifen,Alufelgen,Ambientebeleuchtung,E10-geeignet,Elektronische Parkbremse,Gepäckraumabtrennung,Innenspiegel automatisch abblendend,Sportpaket,Sportsitze,Sprachsteuerung,Touchscreen,Winterpaket",Benzin,Automatik,05/2021,85986,1,100 kW (136 PS),"ABS,Alarmanlage,Beifahrerairbag,ESP,Geschwindigkeits-begrenzungsanlage,Isofix,Kopfairbag,LED-Scheinwerfer,LED-Tagfahrlicht,Müdigkeitswarnsystem,Nebelscheinwerfer,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Spurhalteassistent,Verkehrszeichenerkennung,Wegfahrsperre,Zentralverriegelung mit Funkfernbedienung",Händler,20979
Weiß,Sonstige,"2-Zonen-Klimaautomatik,Armlehne,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Elektrische Sitze,Getönte Scheiben,Klimaanlage,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat,teilb. Rücksitzbank","Android Auto,Apple CarPlay,Bluetooth,Bordcomputer,DAB-Radio,Freisprecheinrichtung,MP3,Musikstreaming integriert,Radio,USB,Volldigitales Kombiinstrument","Alufelgen,E10-geeignet,Elektronische Parkbremse,Innenspiegel automatisch abblendend,Pannenkit,Partikelfilter,Sommerreifen,Sportfahrwerk,Sportpaket,Sprachsteuerung,Touchscreen",Benzin,Schaltgetriebe,03/2022,11000,1,100 kW (136 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Geschwindigkeits-begrenzungsanlage,Isofix,Kopfairbag,LED-Scheinwerfer,LED-Tagfahrlicht,Müdigkeitswarnsystem,Notbremsassistent,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Spurhalteassistent,Tagfahrlicht,Traktionskontrolle,Voll-LED Scheinwerfer,Wegfahrsperre,Zentralverriegelung,Zentralverriegelung mit Funkfernbedienung",Händler,22480
Schwarz,Sonstige,"Armlehne,Berganfahrassistent,Einparkhilfe,Einparkhilfe Kamera,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Einparkhilfe selbstlenkendes System,Elektr. Fensterheber,Elektrische Seitenspiegel,Head-up display,Klimaanlage,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Navigationssystem,Regensensor,Schlüssellose Zentralverriegelung,Sitzheizung,Start/Stop-Automatik,Tempomat","Android Auto,Apple CarPlay,Bluetooth,Bordcomputer,CD,DAB-Radio,Freisprecheinrichtung,Induktionsladen für Smartphones,MP3,Musikstreaming integriert,Radio,USB,Volldigitales Kombiinstrument,W-Lan / Wifi Hotspot","Alufelgen,Anhängerkupplung,E10-geeignet,Innenspiegel automatisch abblendend,Partikelfilter,Sommerreifen,Sprachsteuerung,Touchscreen",Benzin,Automatik,07/2021,34179,,100 kW (136 PS),"ABS,Abstandstempomat,Abstandswarner,Alarmanlage,Beifahrerairbag,Blendfreies Fernlicht,ESP,Fahrerairbag,Fernlichtassistent,Geschwindigkeits-begrenzungsanlage,Isofix,Kopfairbag,Kurvenlicht,LED-Scheinwerfer,LED-Tagfahrlicht,Müdigkeitswarnsystem,Notbremsassistent,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Spurhalteassistent,Tagfahrlicht,Totwinkel-Assistent,Traktionskontrolle,Verkehrszeichenerkennung,Wegfahrsperre,Zentralverriegelung",Händler,23900
Schwarz,Sonstige,"Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Lederlenkrad,Multifunktionslenkrad,Start/Stop-Automatik,Tempomat","Bordcomputer,DAB-Radio,Freisprecheinrichtung,Radio",Alufelgen,Benzin,Schaltgetriebe,02/2021,24794,,100 kW (136 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Notrufsystem,Reifendruckkontrollsystem,Servolenkung,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Händler,20980
Grau,Grau,"2-Zonen-Klimaautomatik,Armlehne,Beheizbares Lenkrad,Einparkhilfe,Einparkhilfe Kamera,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Einparkhilfe selbstlenkendes System,Elektr. Fensterheber,Elektrische Heckklappe,Elektrische Seitenspiegel,Getönte Scheiben,Head-up display,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Navigationssystem,Panoramadach,Regensensor,Schiebedach,Schlüssellose Zentralverriegelung,Sitzheizung,Start/Stop-Automatik,Tempomat,teilb. Rücksitzbank","Bluetooth,Bordcomputer,DAB-Radio,Freisprecheinrichtung,MP3,Radio,USB,Volldigitales Kombiinstrument","Alufelgen,Ambientebeleuchtung,E10-geeignet,Elektronische Parkbremse,Innenspiegel automatisch abblendend,Pannenkit,Scheinwerferreinigung,Sportsitze,Touchscreen",Benzin,Schaltgetriebe,08/2021,30811,,100 kW (136 PS),"ABS,Alarmanlage,Beifahrerairbag,ESP,Fahrerairbag,Fernlichtassistent,Isofix,Kopfairbag,LED-Scheinwerfer,LED-Tagfahrlicht,Nebelscheinwerfer,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Spurhalteassistent,Tagfahrlicht,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung,Zentralverriegelung mit Funkfernbedienung",Händler,21990
Rot,Schwarz,"Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaautomatik,Lederlenkrad,Multifunktionslenkrad,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat","Bordcomputer,Freisprecheinrichtung,Radio,USB","Ambientebeleuchtung,Katalysator,Sommerreifen,Sportfahrwerk,Sportpaket,Sportsitze",Benzin,Schaltgetriebe,12/2017,55000,1,100 kW (136 PS),"ABS,Abstandswarner,Beifahrerairbag,ESP,Fahrerairbag,Geschwindigkeits-begrenzungsanlage,Kopfairbag,LED-Scheinwerfer,LED-Tagfahrlicht,Nebelscheinwerfer,Notbremsassistent,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Tagfahrlicht,Wegfahrsperre,Zentralverriegelung",Händler,14690
Schwarz,Sonstige,"Armlehne,Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaautomatik,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Navigationssystem,Regensensor,Schlüssellose Zentralverriegelung,Sitzheizung,Start/Stop-Automatik,Tempomat","Android Auto,Apple CarPlay,Bluetooth,Bordcomputer,DAB-Radio,Freisprecheinrichtung,Induktionsladen für Smartphones,MP3,Radio,USB,W-Lan / Wifi Hotspot","Allwetterreifen,Alufelgen,Ambientebeleuchtung,Behindertengerecht,E10-geeignet,Partikelfilter,Sportpaket,Sportsitze,Touchscreen",Benzin,Automatik,07/2021,75015,,100 kW (136 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Geschwindigkeits-begrenzungsanlage,Isofix,Kopfairbag,LED-Scheinwerfer,LED-Tagfahrlicht,Müdigkeitswarnsystem,Nebelscheinwerfer,Notbremsassistent,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Spurhalteassistent,Tagfahrlicht,Traktionskontrolle,Verkehrszeichenerkennung,Wegfahrsperre,Zentralverriegelung",Händler,20640
Weiß,Grau,"2-Zonen-Klimaautomatik,Armlehne,Einparkhilfe,Einparkhilfe Kamera,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Einparkhilfe selbstlenkendes System,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat,teilb. Rücksitzbank","Bluetooth,Bordcomputer,DAB-Radio,Freisprecheinrichtung,MP3,Musikstreaming integriert,Radio,USB,Volldigitales Kombiinstrument","Alufelgen,Elektronische Parkbremse,Innenspiegel automatisch abblendend,Katalysator,Pannenkit,Sprachsteuerung,Touchscreen",Benzin,Schaltgetriebe,07/2022,67120,1,100 kW (136 PS),"ABS,Beifahrerairbag,Bi-Xenon Scheinwerfer,ESP,Fahrerairbag,Fernlichtassistent,Geschwindigkeits-begrenzungsanlage,Isofix,Kopfairbag,LED-Scheinwerfer,LED-Tagfahrlicht,Müdigkeitswarnsystem,Nebelscheinwerfer,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Spurhalteassistent,Tagfahrlicht,Traktionskontrolle,Voll-LED Scheinwerfer,Wegfahrsperre,Xenonscheinwerfer,Zentralverriegelung",Händler,18450
Weiß,Schwarz,"2-Zonen-Klimaautomatik,Armlehne,Beheizbares Lenkrad,Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Lederausstattung,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Navigationssystem,Regensensor,Schlüssellose Zentralverriegelung,Sitzheizung,Start/Stop-Automatik,Tempomat","Bluetooth,Bordcomputer,DAB-Radio,Freisprecheinrichtung,Induktionsladen für Smartphones,MP3,Radio,Soundsystem,USB,Volldigitales Kombiinstrument,W-Lan / Wifi Hotspot","Alufelgen,Ambientebeleuchtung,E10-geeignet,Innenspiegel automatisch abblendend,Partikelfilter,Sommerreifen,Sportfahrwerk,Sportpaket,Sportsitze",Benzin,Schaltgetriebe,08/2020,26600,,103 kW (140 PS),"ABS,Abstandswarner,Beifahrerairbag,ESP,Fahrerairbag,Geschwindigkeits-begrenzungsanlage,Isofix,Kopfairbag,LED-Scheinwerfer,LED-Tagfahrlicht,Müdigkeitswarnsystem,Nebelscheinwerfer,Notbremsassistent,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Spurhalteassistent,Tagfahrlicht,Traktionskontrolle,Verkehrszeichenerkennung,Wegfahrsperre,Zentralverriegelung",Händler,23890
Schwarz,Stoff,"Armlehne,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaanlage,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat,teilb. Rücksitzbank","Bluetooth,Bordcomputer,DAB-Radio,Freisprecheinrichtung,MP3,Radio,USB,Volldigitales Kombiinstrument,W-Lan / Wifi Hotspot","Alufelgen,E10-geeignet,Elektronische Parkbremse,Innenspiegel automatisch abblendend,Touchscreen",Benzin,Schaltgetriebe,12/2021,54365,,100 kW (136 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Kopfairbag,LED-Scheinwerfer,LED-Tagfahrlicht,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Spurhalteassistent,Tagfahrlicht,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Händler,18790
Schwarz,Alcantara,"2-Zonen-Klimaautomatik,Armlehne,Beheizbares Lenkrad,Einparkhilfe,Einparkhilfe Kamera,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Heckklappe,Elektrische Seitenspiegel,Getönte Scheiben,Klimaanlage,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Navigationssystem,Panoramadach,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat,teilb. Rücksitzbank","Bordcomputer,DAB-Radio,Freisprecheinrichtung,MP3,Musikstreaming integriert,Radio,Soundsystem,USB","Alufelgen,Ambientebeleuchtung,Anhängerkupplung,Elektronische Parkbremse,Innenspiegel automatisch abblendend,Pannenkit,Partikelfilter,Sommerreifen,Sportfahrwerk,Sportpaket,Sportsitze,Touchscreen",Diesel,Schaltgetriebe,11/2021,31720,1,110 kW (150 PS),"ABS,Abstandstempomat,Abstandswarner,Beifahrerairbag,ESP,Fahrerairbag,Geschwindigkeits-begrenzungsanlage,Isofix,Kopfairbag,LED-Scheinwerfer,LED-Tagfahrlicht,Müdigkeitswarnsystem,Nebelscheinwerfer,Notbremsassistent,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Spurhalteassistent,Tagfahrlicht,Traktionskontrolle,Voll-LED Scheinwerfer,Wegfahrsperre,Zentralverriegelung,Zentralverriegelung mit Funkfernbedienung",Händler,27990
